INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Fine Arts,6,-79.9429173,40.44462397
Cranbrook Academy of Art,-83.2512445,42.56872421,Bloomfield Hills,MI,Cranbrook Academy of Art,Fine Arts,6,-83.2512445,42.56872421
California Institute of the Arts,-118.5673153,34.39334187,Valencia,CA,California Institute of the Arts,Fine Arts,9,-118.5673153,34.39334187
Washington University in St Louis,-90.31061022,38.64793614,Saint Louis,MO,Washington University in St Louis,Fine Arts,12,-90.31061022,38.64793614
University of California-San Diego,-117.2378049,32.87660278,La Jolla,CA,University of California-San Diego,Fine Arts,13,-117.2378049,32.87660278
Pratt Institute-Main,-73.96215043,40.69116225,Brooklyn,NY,Pratt Institute-Main,Fine Arts,15,-73.96215043,40.69116225
Temple University,-75.15826877,39.98095107,Philadelphia,PA,Temple University,Fine Arts,15,-75.15826877,39.98095107
Arizona State University-Tempe,-111.934394,33.41772612,Tempe,AZ,Arizona State University-Tempe,Fine Arts,20,-111.934394,33.41772612
Art Center College of Design,-118.1869132,34.17084887,Pasadena,CA,,Fine Arts,20,-118.1869132,34.17084887
CUNY Hunter College,-73.96479644,40.76867727,New York,NY,,Fine Arts,20,-73.96479644,40.76867727
Rutgers University-New Brunswick,-74.44625258,40.4987772,New Brunswick,NJ,,Fine Arts,20,-74.44625258,40.4987772
School of Visual Arts,-73.98224144,40.73875026,New York,NY,,Fine Arts,20,-73.98224144,40.73875026
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,,Fine Arts,20,-83.74277362,42.27592913
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,,Fine Arts,20,-122.3131299,47.65621862
University of Illinois at Urbana-Champaign,-88.23031476,40.10887151,Champaign,IL,University of Illinois at Urbana-Champaign,Library and Information Studies,1,-88.23031476,40.10887151
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Library and Information Studies,3,-79.05097174,35.91177609
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Library and Information Studies,5,-83.74277362,42.27592913
Rutgers University-New Brunswick,-74.44625258,40.4987772,New Brunswick,NJ,Rutgers University-New Brunswick,Library and Information Studies,7,-74.44625258,40.4987772
Indiana University-Bloomington,-86.52690918,39.16639043,Bloomington,IN,Indiana University-Bloomington,Library and Information Studies,9,-86.52690918,39.16639043
Drexel University,-75.18874678,39.95486307,Philadelphia,PA,Drexel University,Library and Information Studies,11,-75.18874678,39.95486307
Simmons College,-71.0999676,42.33930867,Boston,MA,Simmons College,Library and Information Studies,12,-71.0999676,42.33930867
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Library and Information Studies,14,-89.4053624,43.07386595
The University of Tennessee-Knoxville,-83.92585619,35.95208891,Knoxville,TN,The University of Tennessee-Knoxville,Library and Information Studies,17,-83.92585619,35.95208891
Kent State University at Kent,-81.34253679,41.14666104,Kent,OH,Kent State University at Kent,Library and Information Studies,19,-81.34253679,41.14666104
University of Washington-Seattle Campus,-122.3131299,47.65621862,Seattle,WA,University of Washington-Seattle Campus,Library and Information Studies,2,-122.3131299,47.65621862
